% Model,CFxSimEIS.mph
% Version,COMSOL 5.6.0.401
% Date,"Nov 8 2021, 13:49"
% Table,Table 3 - Global Evaluation 1
% sigma_CFx (S/m),i0_an (A/m^2),freq (Hz),Z (Ω*m^2)
20,10,0.1,0.0046720169397086+2.657946057481233E-4i
20,10,0.1778279410038923,0.0046047110592453274+2.0255290687607157E-4i
20,10,0.31622776601683794,0.004553407842873574+1.5572260210288842E-4i
20,10,0.5623413251903491,0.004514444987581339+1.2191701616134314E-4i
20,10,1,0.004484636445905094+9.962622550287366E-5i
20,10,1.7782794100389228,0.0044603797598594674+8.798653571764443E-5i
20,10,3.1622776601683795,0.004439265380380943+8.597837504755658E-5i
20,10,5.623413251903491,0.004420997511661558+9.493200270161629E-5i
20,10,10,0.0044060848651015245+1.2118151066613196E-4i
20,10,17.78279410038923,0.004392451477368842+1.7930890779158868E-4i
20,10,31.622776601683793,0.004368967188651808+2.9302366692836497E-4i
20,10,56.23413251903491,0.004305313958132641+4.948107060378822E-4i
20,10,100,0.004125691665614101+8.110498519079561E-4i
20,10,177.82794100389228,0.003693532580116997+0.0011789889528245996i
20,10,316.22776601683796,0.0029795171687608778+0.001335072162601278i
20,10,562.341325190349,0.002308946731775188+0.0011057679065777533i
20,10,1000,0.0019415087110976248+7.312124154893192E-4i
20,10,1778.2794100389228,0.001796800621483378+4.3541833040756467E-4i
20,10,3162.2776601683795,0.001747421230874129+2.4950273726270545E-4i
20,10,5623.413251903491,0.0017314132495833622+1.4115322729973414E-4i
20,10,10000,0.0017263107315217709+7.952820930392863E-5i
20,10,17782.794100389227,0.0017246931042623264+4.474907906792751E-5i
20,10,31622.776601683792,0.0017241811574455735+2.516907467573266E-5i
20,10,56234.13251903491,0.0017240192244654979+1.415448479014799E-5i
20,10,100000,0.0017239680127177916+7.959830277909652E-6i
20,10,177827.94100389228,0.0017239518185456276+4.476063707048742E-6i
20,10,316227.7660168379,0.0017239466970366158+2.5170299449684496E-6i
20,10,562341.3251903491,0.0017239450773750842+1.4154018949147186E-6i
20,10,1000000,0.001723944565509161+7.955664356259769E-7i
20,20,0.001,0.005677227890546348+0.002587964006231401i
20,20,0.0017782794100389228,0.005026135168976807+0.001942165246945886i
20,20,0.0031622776601683794,0.004539384309020784+0.00145675395858664i
20,20,0.005623413251903491,0.004174881772507233+0.0010931142535797992i
20,20,0.01,0.0039012604442321148+8.20826397876878E-4i
20,20,0.01778279410038923,0.0036956582947672923+6.169381063100318E-4i
20,20,0.03162277660168379,0.0035409175474706554+4.6439699535217883E-4i
20,20,0.05623413251903491,0.003424145832172653+3.5035208946981996E-4i
20,20,0.1,0.003335687307715311+2.6511492751730476E-4i
20,20,0.1778279410038923,0.0032683840053830183+2.0134589721328199E-4i
20,20,0.31622776601683794,0.0032170860681673204+1.5357936930643308E-4i
20,20,0.5623413251903491,0.0031781343571960496+1.1811147902351533E-4i
20,20,1,0.003148351454324844+9.28682371733003E-5i
20,20,1.7782794100389228,0.003124161445385548+7.598260788355945E-5i
20,20,3.1622776601683795,0.0031032389049603054+6.46512893423605E-5i
20,20,5.623413251903491,0.0030855551485003832+5.7038463378946974E-5i
20,20,10,0.003072463120952859+5.388563681968009E-5i
20,20,17.78279410038923,0.003064535286653581+6.003546562829285E-5i
20,20,31.622776601683793,0.003058844951688263+8.299645430225741E-5i
20,20,56.23413251903491,0.0030494506190784283+1.3240890034418867E-4i
20,20,100,0.003023926022031106+2.226472095851085E-4i
20,20,177.82794100389228,0.0029507691960602924+3.6895476625780336E-4i
